N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
99,대우조선해양,"28,450","1,850",+6.95%,"5,000","30,524","107,291",8.87,"1,295,493",35.25,2.27,
100,더존비즈온,"100,000",500,-0.50%,500,"30,280","30,280",44.73,"101,983",55.37,15.09,
101,한국가스공사,"32,800",150,+0.46%,"5,000","30,279","92,313",9.03,"199,441",-17.60,-2.24,
102,GS리테일,"38,650",150,-0.39%,"1,000","29,760","77,000",15.61,"177,812",17.67,7.50,
103,메리츠증권,"4,370",50,+1.16%,"1,000","29,540","675,962",14.48,"1,547,560",5.36,15.06,
104,LG화학우,"372,000","6,500",+1.78%,"5,000","28,602","7,689",63.66,"20,256",56.80,N/A,
105,BGF리테일,"163,500","1,000",+0.62%,"1,000","28,259","17,284",32.27,"28,047",23.03,18.60,
106,신세계,"281,500","1,500",+0.54%,"5,000","27,714","9,845",25.64,"104,417",-26.78,-2.81,
107,한솔케미칼,"243,500","5,500",+2.31%,"5,000","27,601","11,335",40.06,"66,125",22.41,24.50,
108,CJ,"94,200","2,300",+2.50%,"5,000","27,485","29,177",18.95,"73,620",15.65,6.24,
109,휠라홀딩스,"44,650",650,+1.48%,"1,000","27,126","60,752",44.92,"603,054",19.53,10.94,
110,대우건설,"6,470",130,+2.05%,"5,000","26,891","415,623",8.85,"4,547,373",9.47,11.06,
111,삼성엔지니어링,"13,700",400,+3.01%,"5,000","26,852","196,000",24.53,"2,564,572",10.97,16.75,
112,한샘,"114,000","7,500",+7.04%,"1,000","26,829","23,534",23.73,"246,099",41.23,10.83,
113,하이트진로,"38,250",150,-0.39%,"5,000","26,826","70,134",7.40,"445,015",31.46,8.23,
114,OCI,"111,000","2,000",-1.77%,"5,000","26,473","23,849",18.54,"238,704",-10.75,-9.89,
115,효성티앤씨,"611,000","20,000",+3.38%,"5,000","26,442","4,328",19.13,"129,207",19.33,25.10,
116,한화생명,"3,035",50,+1.68%,"5,000","26,360","868,530",6.81,"3,580,833",11.20,1.90,
117,현대오토에버,"125,000","4,500",+3.73%,500,"26,250","21,000",2.13,"76,117",44.50,11.09,
118,현대미포조선,"63,700","5,900",+10.21%,"5,000","25,443","39,942",12.97,"1,377,656",-130.53,-0.84,
119,포스코인터내셔널,"20,450",500,-2.39%,"5,000","25,230","123,375",9.74,"1,092,644",10.57,7.69,
120,TIGER 200,"41,775",420,+1.02%,0,"24,689","59,100",0.00,"591,678",N/A,N/A,
121,제일기획,"21,350",250,+1.18%,200,"24,561","115,041",32.82,"304,228",15.61,16.11,
122,DB하이텍,"55,300","1,100",+2.03%,"5,000","24,552","44,399",18.36,"724,660",14.83,23.07,
123,DL이앤씨,"124,500",500,+0.40%,"5,000","24,102","19,359",20.53,"304,787",N/A,N/A,
124,현대차우,"98,900",100,+0.10%,"5,000","24,089","24,357",56.72,"80,790",19.23,N/A,
125,한화,"30,200",800,+2.72%,"5,000","22,638","74,959",19.52,"465,334",13.83,4.79,
126,현대로템,"20,550",400,+1.99%,"5,000","22,429","109,142",5.84,"1,255,398",63.23,2.84,
127,한화시스템,"20,200","1,100",+5.76%,"5,000","22,267","110,230",3.42,"2,025,584",23.79,9.35,
128,두산인프라코어,"10,250",150,+1.49%,"5,000","22,198","216,564",8.46,"12,893,998",14.50,6.47,
129,BNK금융지주,"6,740",150,+2.28%,"5,000","21,968","325,935",39.27,"1,582,381",4.57,7.07,
130,대한유화,"332,000","7,000",+2.15%,"5,000","21,580","6,500",21.36,"113,851",16.96,6.93,
131,메리츠화재,"17,750",0,0.00%,500,"21,411","120,625",10.65,"329,975",5.21,12.80,
132,LS,"66,000","2,200",+3.45%,"5,000","21,252","32,200",14.25,"176,507",16.76,3.94,
133,현대위아,"77,800",700,-0.89%,"5,000","21,158","27,195",9.56,"204,569",34.70,1.96,
134,현대해상,"23,500",250,-1.05%,500,"21,009","89,400",37.68,"466,459",5.77,6.23,
135,오뚜기,"569,000","2,000",-0.35%,"5,000","20,894","3,672",16.54,"2,933",19.43,7.93,
136,현대백화점,"89,000","2,000",+2.30%,"5,000","20,828","23,402",16.25,"358,842",29.62,1.65,
137,메리츠금융지주,"15,300",400,+2.68%,500,"20,504","134,011",8.06,"127,308",4.40,15.26,
138,KCC,"229,500","7,000",+3.15%,"5,000","20,394","8,886",12.61,"126,093",3.42,12.79,
139,한화에어로스페이스,"40,000",900,+2.30%,"5,000","20,252","50,630",17.66,"865,380",16.75,4.78,
140,KODEX 200선물인버스2X,"2,130",45,-2.07%,0,"20,056","941,600",2.58,"220,809,222",N/A,N/A,
141,F&F,"130,000","9,000",-6.47%,500,"20,020","15,400",10.58,"347,791",23.34,16.59,
142,KODEX 단기채권,"102,765",0,0.00%,0,"19,911","19,375",0.00,"29,621",N/A,N/A,
143,HDC현대산업개발,"30,050",850,+2.91%,"5,000","19,805","65,907",10.98,"913,599",8.36,8.85,
144,대웅,"32,450",250,+0.78%,500,"18,867","58,142",5.07,"150,000",19.18,15.10,
145,효성첨단소재,"415,000","34,000",+8.92%,"5,000","18,592","4,480",9.54,"259,452","23,055.60",0.03,
146,현대엘리베이,"45,300","1,250",+2.84%,"5,000","18,489","40,815",28.11,"493,958",19.13,9.78,
147,효성,"87,400","2,800",+3.31%,"5,000","18,416","21,071",8.60,"148,012",-34.90,-2.26,
148,프레스티지바이오파마,"30,300",200,-0.66%,0,"18,209","60,096",0.00,"619,873",N/A,N/A,
149,LS ELECTRIC,"59,600","1,100",+1.88%,"5,000","17,880","30,000",13.88,"122,756",22.97,7.82,
150,영원무역,"40,150",950,+2.42%,500,"17,791","44,311",25.20,"141,754",12.05,8.03,
151,아이에스동서,"56,800","1,700",+3.09%,500,"17,547","30,893",5.27,"163,083",14.12,10.92,
152,KODEX 레버리지,"26,050",495,+1.94%,0,"17,506","67,200",2.81,"29,622,556",N/A,N/A,
153,한국앤컴퍼니,"18,750",800,+4.46%,500,"17,441","93,020",8.58,"425,101",10.29,5.08,
154,KODEX 삼성그룹,"9,835",80,+0.82%,0,"17,133","174,200",0.03,"635,010",N/A,N/A,
155,농심,"281,000","1,500",-0.53%,"5,000","17,092","6,083",16.26,"17,852",11.51,7.50,
156,코오롱인더,"62,700",100,+0.16%,"5,000","16,916","26,979",17.55,"405,516",9.17,9.70,
157,녹십자홀딩스,"35,250",100,-0.28%,500,"16,577","47,028",5.21,"142,931",10.21,19.74,
158,종근당,"137,000","2,500",+1.86%,"2,500","15,654","11,426",9.35,"223,118",17.08,17.88,
159,KODEX 200TR,"13,480",125,+0.94%,0,"15,367","114,000",0.08,"40,337",N/A,N/A,
160,부광약품,"23,400",150,-0.64%,500,"15,172","64,838",5.11,"504,492",-231.68,-2.46,
161,대웅제약,"128,500",500,+0.39%,"2,500","14,889","11,587",4.58,"35,665",116.71,2.38,
162,신세계인터내셔날,"207,500","3,500",-1.66%,"5,000","14,816","7,140",3.42,"39,130",29.10,8.24,
163,롯데정밀화학,"57,400",400,+0.70%,"5,000","14,809","25,800",22.70,"140,827",7.45,12.65,
164,LG생활건강우,"695,000","10,000",+1.46%,"5,000","14,593","2,100",83.98,"4,866",15.44,N/A,
165,KODEX MSCI Korea TR,"13,385",125,+0.94%,0,"14,349","107,200",0.00,"662,123",N/A,N/A,
166,솔루스첨단소재,"46,100",100,+0.22%,100,"14,102","30,590",5.84,"166,380",-165.23,-5.10,
167,NHN,"71,900",300,+0.42%,500,"14,067","19,565",10.99,"84,521",65.60,1.35,
168,DGB금융지주,"8,220",120,+1.48%,"5,000","13,904","169,146",48.64,"1,007,131",4.19,7.31,
169,DL,"89,900",0,0.00%,"5,000","13,882","15,441",24.03,"447,437",6.87,11.84,
170,SK네트웍스,"5,580",30,+0.54%,"2,500","13,849","248,188",12.15,"1,295,405",40.14,1.63,
171,KODEX 종합채권(AA-이상)액티브,"109,030",155,-0.14%,0,"13,661","12,530",0.00,"2,772",N/A,N/A,
172,한전KPS,"29,250",750,+2.63%,200,"13,162","45,000",9.77,"503,582",15.12,8.23,
173,롯데관광개발,"18,950",700,-3.56%,500,"13,128","69,276",4.57,"881,494",-16.02,-30.43,
174,한국콜마,"57,100",200,+0.35%,500,"13,065","22,881",29.07,"108,689",8.15,29.27,
175,KG동부제철,"13,050",350,+2.76%,"5,000","13,051","100,009",0.13,"340,599",19.54,7.18,
176,솔루엠,"26,500",400,+1.53%,500,"13,009","49,092",0.01,"2,237,982",26.16,86.98,
